YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2019,22.03,1.HC,Bredene Koksijde Classic,P. Ackermann,https://firstcycling.com/race.php?r=123&y=2019
2019,24.03,1.HC,GP de Denain,M. van der Poel,https://firstcycling.com/race.php?r=146&y=2019
2019,06.04-13.04,2.HC,Tour de Langkawi,B. Dyball,https://firstcycling.com/race.php?r=128&y=2019
2019,10.04,1.HC,Scheldeprijs,F. Jakobsen,https://firstcycling.com/race.php?r=56&y=2019
2019,17.04,1.HC,Brabantse Pijl,M. van der Poel,https://firstcycling.com/race.php?r=77&y=2019
2019,22.04-26.04,2.HC,Tour of the Alps,P. Sivakov,https://firstcycling.com/race.php?r=62&y=2019
2019,02.05-05.05,2.HC,Tour de Yorkshire,C. Lawless,https://firstcycling.com/race.php?r=942&y=2019
2019,14.05-19.05,2.HC,4 Jours de Dunkerque,M. Teunissen,https://firstcycling.com/race.php?r=175&y=2019
2019,28.05-02.06,2.HC,Tour of Norway,A. Kristoff,https://firstcycling.com/race.php?r=71&y=2019
2019,05.06-09.06,2.HC,Tour de Luxembourg,J. Herrada,https://firstcycling.com/race.php?r=37&y=2019
2019,12.06-16.06,2.HC,Belgium Tour,R. Evenepoel,https://firstcycling.com/race.php?r=60&y=2019
2019,13.06,1.HC,GP Kanton Aargau,A. Kristoff,https://firstcycling.com/race.php?r=199&y=2019
2019,19.06-23.06,2.HC,Tour of Slovenia,D. Ulissi,https://firstcycling.com/race.php?r=211&y=2019
2019,14.07-27.07,2.HC,Tour of Qinghai Lake,R. Chalapud,https://firstcycling.com/race.php?r=127&y=2019
2019,27.07-31.07,2.HC,Tour de Wallonie,L. Vliegen,https://firstcycling.com/race.php?r=193&y=2019
2019,12.08-18.08,2.HC,Tour of Utah,B. Hermans,https://firstcycling.com/race.php?r=119&y=2019
2019,13.08-17.08,2.HC,Vuelta a Burgos,I. Sosa,https://firstcycling.com/race.php?r=192&y=2019
2019,15.08-18.08,2.HC,Arctic Race of Norway,A. Lutsenko,https://firstcycling.com/race.php?r=259&y=2019
2019,21.08-25.08,2.HC,PostNord Tour of Denmark,N. Larsen,https://firstcycling.com/race.php?r=32&y=2019
2019,29.08-01.09,2.HC,Deutschland Tour,J. Stuyven,https://firstcycling.com/race.php?r=36&y=2019
2019,07.09,1.HC,Brussels Classic,C. Ewan,https://firstcycling.com/race.php?r=64&y=2019
2019,07.09-14.09,2.HC,Tour of Britain,M. van der Poel,https://firstcycling.com/race.php?r=45&y=2019
2019,08.09,1.HC,GP de Fourmies,P. Ackermann,https://firstcycling.com/race.php?r=92&y=2019
2019,21.09,1.HC,SUPER 8 Classic,E. Theuns,https://firstcycling.com/race.php?r=168&y=2019
2019,03.10,1.HC,Münsterland Giro,A. Hodeg,https://firstcycling.com/race.php?r=158&y=2019
2019,05.10,1.HC,Giro dell'Emilia,P. Roglic,https://firstcycling.com/race.php?r=29&y=2019
2019,05.10,1.HC,Circuit Franco-Belge,P. Allegaert,https://firstcycling.com/race.php?r=231&y=2019
2019,06.10,1.HC,GP Bruno Beghelli,S. Colbrelli,https://firstcycling.com/race.php?r=156&y=2019
