index,Pos,Rider,Born,Nation,Team,Points,rider_id,Year
12948,553,Hepburn  Michael,1991,Australia,Orica - GreenEDGE,167,2978,2015
12955,562,Schär  Michael,1986,Switzerland,BMC Racing Team,165,327,2015
12962,569,Horner  Chris,1971,USA,Airgas - Safeway,163,323,2015
12970,576,Duchesne  Antoine,1991,Canada,Team Europcar,161,6260,2015
12972,579,De Marchi  Alessandro,1986,Italy,BMC Racing Team,160,3103,2015
12976,582,Grmay  Tsgabu,1991,Ethiopia,Lampre-Merida,158,6255,2015
12989,595,Sénéchal  Florian,1993,France,Cofidis,155,12481,2015
13001,606,Rota  Lorenzo,1995,Italy,Unieuro - Willier,151,27275,2015
13016,620,Guerreiro  Ruben,1994,Portugal,Axeon Cycling Team,147,16992,2015
13023,629,Politt  Nils,1994,Germany,Team Katusha,144,18260,2015
13033,640,Mori  Manuele,1980,Italy,Lampre-Merida,140,492,2015
13035,640,Herrada  Jose,1985,Spain,Movistar Team,140,1323,2015
13037,640,Roosen  Timo,1993,Netherlands,Team Lotto NL - Jumbo,140,22133,2015
13049,655,Tusveld  Martijn,1993,Netherlands,Rabobank DT,135,7729,2015
13050,655,Bernard  Julien,1992,France,Trek Factory Racing,135,17182,2015
13058,665,Craddock  Lawson,1992,USA,Team Giant - Alpecin,131,3355,2015
13084,691,Delage  Mickaël,1985,France,FDJ,124,155,2015
13088,695,Weening  Pieter,1981,Netherlands,Orica - GreenEDGE,123,300,2015
13125,731,Dupont  Hubert,1980,France,AG2R La Mondiale,113,186,2015
13136,740,Benedetti  Cesare,1987,Poland,Bora - Argon 18,112,3224,2015
13147,751,Ackermann  Pascal,1994,Germany,Rad-Net Rose Team,110,9746,2015
13161,768,Langeveld  Sebastian,1985,Netherlands,Cannondale - Garmin,107,312,2015
13163,768,Howes  Alex,1988,USA,Cannondale - Garmin,107,7566,2015
13165,772,Szmyd  Sylwester,1978,Poland,CCC Sprandi Polkowice,106,360,2015
13166,772,Koren  Kristjan,1986,Slovenia,Cannondale - Garmin,106,782,2015
13171,778,Meier  Christian,1985,Canada,Orica - GreenEDGE,105,355,2015
13174,778,Garcia  Egoitz,1986,Spain,Murias Taldea,105,3928,2015
13177,778,Haga  Chad,1988,USA,Team Giant - Alpecin,105,9322,2015
13178,778,Brun Jr.  Frederic,1988,France,Bretagne,105,20148,2015
13180,787,Smukulis  Gatis,1987,Latvia,Team Katusha,104,849,2015
13188,791,Tolhoek  Antwan,1994,Netherlands,Tinkoff - Saxo,103,22143,2015
13203,806,Brown  Nathan,1991,USA,Cannondale - Garmin,100,3354,2015
13226,833,Brutt  Pavel,1982,Russia,Tinkoff - Saxo,95,557,2015
13248,854,Wyss  Marcel,1986,Switzerland,IAM Cycling,91,894,2015
13255,862,Roy  Jérémy,1983,France,FDJ,90,106,2015
13265,871,Dempster  Zakkari,1987,Australia,Bora - Argon 18,88,2396,2015
13277,880,García Cortina  Iván,1995,Spain,AWT - GreenWay,87,11828,2015
13318,920,De Buyst  Jasper,1993,Belgium,Lotto - Soudal,81,9042,2015
13323,930,Tjallingii  Maarten,1977,Netherlands,Team Lotto NL - Jumbo,80,601,2015
13324,930,Stetina  Peter,1987,USA,BMC Racing Team,80,771,2015
13342,941,Bonnamour  Franck,1995,France,Bretagne,78,27297,2015
13352,956,Owsian  Lukasz,1990,Poland,CCC Sprandi Polkowice,76,7771,2015
13375,978,Paret-Peintre  Aurélien,1996,France,Chambery CF,72,27301,2015
13397,1004,Ten Dam  Laurens,1980,Netherlands,Team Lotto NL - Jumbo,69,80,2015
13408,1015,Sabatini  Fabio,1985,Italy,Etixx - Quick Step,68,122,2015
13452,1057,Marangoni  Alan,1984,Italy,Cannondale - Garmin,62,1861,2015
13464,1071,Gusev  Vladimir,1982,Russia,Sky Dive Dubai,61,482,2015
13490,1097,Pate  Danny,1979,USA,Team Sky,59,50,2015
13510,1109,Denz  Nico,1994,Germany,AG2R La Mondiale,58,16817,2015
13516,1122,Gène  Yohann,1981,France,Team Europcar,57,904,2015
13518,1122,Gruzdev  Dmitriy,1986,Kazakhstan,Astana Pro Team,57,5836,2015
13547,1153,Ruijgh  Rob,1986,Netherlands,Vastgoedservice,55,936,2015
13622,1229,Serpa  José,1979,Colombia,Lampre-Merida,49,463,2015
13624,1229,van Poppel  Boy,1988,Netherlands,Trek Factory Racing,49,3187,2015
13636,1243,Pineau  Jérôme,1980,France,IAM Cycling,48,182,2015
13731,1329,Cras  Steff,1996,Belgium,Lotto - Soudal U23,42,27332,2015
13747,1354,Leezer  Tom,1985,Netherlands,Team Lotto NL - Jumbo,40,368,2015
13762,1369,Di Gregorio  Rémy,1985,France,Team Marseille 13 - KTM,39,105,2015
13763,1369,Wynants  Maarten,1982,Belgium,Team Lotto NL - Jumbo,39,367,2015
13939,1530,De Gendt  Aimé,1994,Belgium,EFC - Etixx,31,16581,2015
13950,1556,Eisel  Bernhard,1981,Austria,Team Sky,30,93,2015
14000,1607,Paulinho  Sergio,1980,Portugal,Tinkoff - Saxo,28,88,2015
14068,1673,Quemeneur  Perrig,1984,France,Team Europcar,26,906,2015
14156,1737,Gaudu  David,1996,France,Côtes d'Armor - Marie Morin,24,37378,2015
14224,1832,Goss  Matthew,1986,Australia,MTN-Qhubeka,21,512,2015
14251,1832,Aranburu  Alex,1995,Spain,Murias Taldea,21,27307,2015
14260,1868,Fröhlinger  Johannes,1985,Germany,Team Giant - Alpecin,20,32,2015
14261,1868,Velits  Martin,1985,Slovakia,Etixx - Quick Step,20,703,2015
14291,1868,Ourselin  Paul,1994,France,Vendee U,20,32592,2015
14294,1868,Fröhlinger  Johannes,1985,Germany,Team Giant - Alpecin,20,32,2015
14309,1868,Ourselin  Paul,1994,France,Vendee U,20,32592,2015
14314,1918,Cattaneo  Mattia,1990,Italy,Lampre-Merida,19,6227,2015
14351,1951,van der Hoorn  Taco,1993,Netherlands,Cycling Team Join's-De Rijke,18,10802,2015
14377,1985,Malacarne  Davide,1987,Italy,Astana Pro Team,17,759,2015
14394,1985,Malacarne  Davide,1987,Italy,Astana Pro Team,17,759,2015
14437,2044,Breen  Vegard,1990,Norway,Lotto - Soudal,16,774,2015
14545,2139,Domont  Axel,1990,France,AG2R La Mondiale,14,10946,2015
14795,2390,Lancaster  Brett,1979,Australia,Orica - GreenEDGE,10,128,2015
14894,2491,Steegmans  Gert,1980,Belgium,Trek Factory Racing,9,175,2015
15196,2787,Urtasun  Pablo,1980,Spain,Team Ukyo,6,869,2015
15278,2787,Nieuwenhuis  Joris,1996,Netherlands,Rabobank DT,6,38146,2015
15295,2787,Urtasun  Pablo,1980,Spain,Team Ukyo,6,869,2015
15328,2787,Nieuwenhuis  Joris,1996,Netherlands,Rabobank DT,6,38146,2015
15644,3099,Asgreen  Kasper,1995,Denmark,MLP Team Bergstrasse,4,27121,2015
15773,3299,Hindley  Jai,1996,Australia,Aran Cucine,3,37446,2015
15849,3299,Abrahamsen  Jonas,1995,Norway,Grenland SK,3,27229,2015
15872,3299,Hindley  Jai,1996,Australia,Aran Cucine,3,37446,2015
16079,3532,Thomas  Benjamin,1995,France,Armée de Terre,2,43007,2015
16104,3532,Guillou  Florian,1982,France,Bretagne,2,3132,2015
16718,1,Sagan  Peter,1990,Slovakia,Tinkoff,3537,784,2016
16724,7,Bardet  Romain,1990,France,AG2R La Mondiale,2287,2275,2016
16731,14,Coquard  Bryan,1992,France,Direct Energie,1623,16752,2016
16736,19,Colbrelli  Sonny,1990,Italy,Bardiani - CSF,1505,2338,2016
16737,20,Cavendish  Mark,1985,Great Britain,Dimension Data,1484,14,2016
16739,22,Groenewegen  Dylan,1993,Netherlands,Team LottoNL-Jumbo,1446,7720,2016
16742,25,Costa  Rui,1986,Portugal,Lampre-Merida,1428,114,2016
16744,26,Alaphilippe  Julian,1992,France,Etixx - Quick Step,1426,12474,2016
16748,31,Zakarin  Ilnur,1989,Russia,Team Katusha,1317,9128,2016
16750,33,Démare  Arnaud,1991,France,FDJ,1303,2337,2016
16751,34,Majka  Rafal,1989,Poland,Tinkoff,1295,3991,2016
16752,35,Cancellara  Fabian,1981,Switzerland,Trek-Segafredo,1290,12,2016
16753,36,Brambilla  Gianluca,1987,Italy,Etixx - Quick Step,1274,2741,2016
16755,38,Jungels  Bob,1992,Luxembourg,Etixx - Quick Step,1214,6413,2016
16757,40,Visconti  Giovanni,1983,Italy,Movistar Team,1161,486,2016
16758,41,Rodríguez  Joaquim,1979,Spain,Team Katusha,1125,246,2016
16759,42,Poels  Wout,1987,Netherlands,Team Sky,1085,929,2016
16768,51,Fuglsang  Jakob,1985,Denmark,Astana Pro Team,973,264,2016
16769,52,Vakoc  Petr,1992,Czech Republic,Etixx - Quick Step,967,6266,2016
16774,57,Gavazzi  Francesco,1984,Italy,Androni Giocattoli,904,580,2016
16777,60,Latour  Pierre,1993,France,AG2R La Mondiale,890,15752,2016
16778,61,Swift  Ben,1987,Great Britain,Team Sky,887,828,2016
16781,64,Pantano  Jarlinson,1988,Colombia,IAM Cycling,865,1294,2016
16783,66,McLay  Daniel,1992,Great Britain,Fortuneo - Vital Concept,860,16154,2016
16784,67,Atapuma  Darwin,1988,Colombia,BMC Racing Team,855,2280,2016
16785,68,Kangert  Tanel,1987,Estonia,Astana Pro Team,844,1018,2016
16786,69,Kreuziger  Roman,1986,Czech Republic,Tinkoff,836,36,2016
16788,71,Kruijswijk  Steven,1987,Netherlands,Team LottoNL-Jumbo,830,730,2016
16791,73,Felline  Fabio,1990,Italy,Trek-Segafredo,818,1580,2016
16801,84,Degenkolb  John,1989,Germany,Team Giant - Alpecin,775,1013,2016
16802,85,Kwiatkowski  Michal,1990,Poland,Team Sky,765,2961,2016
16810,93,Moreno  Daniel,1981,Spain,Movistar Team,728,335,2016
16821,104,Chavanel  Sylvain,1979,France,Direct Energie,694,167,2016
16827,110,Theuns  Edward,1991,Belgium,Trek-Segafredo,652,10382,2016
16829,112,Castroviejo  Jonathan,1987,Spain,Movistar Team,635,871,2016
16830,113,Bilbao  Pello,1990,Spain,Caja Rural - Seguros,632,4863,2016
16831,114,Vichot  Arthur,1988,France,FDJ,630,861,2016
16833,116,Stuyven  Jasper,1992,Belgium,Trek-Segafredo,626,5059,2016
16835,118,Gerrans  Simon,1980,Australia,Orica - BikeExchange,621,339,2016
16836,118,Bettiol  Alberto,1993,Italy,Cannondale - Drapac,621,20584,2016
16838,121,Cummings  Steve,1981,Great Britain,Dimension Data,605,271,2016
16841,124,Capiot  Amaury,1993,Belgium,Topsport Vlaanderen,596,19254,2016
16845,128,Formolo  Davide,1992,Italy,Cannondale - Drapac,582,11011,2016
16859,142,Nieve  Mikel,1984,Spain,Team Sky,546,868,2016
16862,145,Bonifazio  Niccolo,1993,Italy,Trek-Segafredo,538,16823,2016
16864,147,Richeze  Maximiliano,1983,Argentina,Etixx - Quick Step,526,624,2016
16867,150,Vuillermoz  Alexis,1988,France,AG2R La Mondiale,519,14716,2016
16868,151,Valgren  Michael,1992,Denmark,Tinkoff,514,6309,2016
16871,154,Dupont  Hubert,1980,France,AG2R La Mondiale,510,186,2016
16873,155,Thwaites  Scott,1990,Great Britain,Bora - Argon 18,503,3299,2016
16876,159,Scarponi  Michele,1979,Italy,Astana Pro Team,499,27,2016
16879,162,Van Emden  Jos,1985,Netherlands,Team LottoNL-Jumbo,496,729,2016
16886,169,Caruso  Damiano,1987,Italy,BMC Racing Team,485,1006,2016
16887,169,Sénéchal  Florian,1993,France,"Cofidis, Solution Credits",485,12481,2016
16888,171,Clement  Stef,1982,Netherlands,IAM Cycling,480,81,2016
16889,172,Gesink  Robert,1986,Netherlands,Team LottoNL-Jumbo,475,41,2016
16896,179,Geniez  Alexandre,1988,France,FDJ,464,948,2016
16900,183,Coppel  Jérôme,1986,France,IAM Cycling,460,99,2016
16902,185,Craddock  Lawson,1992,USA,Cannondale - Drapac,459,3355,2016
16903,186,Navardauskas  Ramunas,1988,Lithuania,Cannondale - Drapac,458,1709,2016
16909,191,Oliveira  Nelson,1989,Portugal,Movistar Team,450,1008,2016
16912,195,Goncalves  Jose,1989,Portugal,Caja Rural - Seguros,446,6536,2016
16914,197,Slagter  Tom-Jelte,1989,Netherlands,Cannondale - Drapac,440,1714,2016
16917,199,Laporte  Christophe,1992,France,"Cofidis, Solution Credits",435,14737,2016
16927,210,Delaplace  Anthony,1989,France,Fortuneo - Vital Concept,422,965,2016
16928,211,Kiryienka  Vasil,1981,Belarus,Team Sky,421,402,2016
16929,212,Haussler  Heinrich,1984,Australia,IAM Cycling,417,120,2016
16932,215,Zabel  Rick,1993,Germany,BMC Racing Team,405,7731,2016
16945,228,Janse van Rensburg  Reinardt,1989,South Africa,Dimension Data,383,6559,2016
16948,231,Weening  Pieter,1981,Netherlands,Roompot - Oranje Peloton,374,300,2016
16952,235,Politt  Nils,1994,Germany,Team Katusha,369,18260,2016
16953,236,Molard  Rudy,1989,France,"Cofidis, Solution Credits",365,6222,2016
16960,243,Simon  Julien,1985,France,"Cofidis, Solution Credits",352,964,2016
16968,250,McCarthy  Jay,1992,Australia,Tinkoff,343,4778,2016
16969,252,Bodnar  Maciej,1985,Poland,Tinkoff,342,361,2016
16975,258,Renshaw  Mark,1982,Australia,Dimension Data,334,97,2016
16977,260,Cataldo  Dario,1985,Italy,Astana Pro Team,333,532,2016
16980,263,Rojas  José Joaquin,1985,Spain,Movistar Team,330,116,2016
16981,263,Paterski  Maciej,1986,Poland,CCC Sprandi Polkowice,330,783,2016
16983,265,De La Parte  Victor,1986,Spain,CCC Sprandi Polkowice,329,5395,2016
16984,267,Grivko  Andriy,1983,Ukraine,Astana Pro Team,328,494,2016
16985,268,Péraud  Jean-Christophe,1977,France,AG2R La Mondiale,327,1151,2016
16986,268,Durbridge  Luke,1991,Australia,Orica - BikeExchange,327,2327,2016
16987,268,Bevin  Patrick,1991,New Zealand,Cannondale - Drapac,327,3287,2016
16994,277,Preidler  Georg,1990,Austria,Team Giant - Alpecin,317,6244,2016
16998,280,Sepulveda  Eduardo,1991,Argentina,Fortuneo - Vital Concept,313,9451,2016
17006,289,Wallays  Jelle,1989,Belgium,Lotto - Soudal,306,1276,2016
17007,289,Großschartner  Felix,1993,Austria,CCC Sprandi Polkowice,306,9302,2016
17011,293,Kudus  Merhawi,1994,Eritrea,Dimension Data,303,18117,2016
17015,298,Gatto  Oscar,1985,Italy,Tinkoff,298,1973,2016
17017,300,Arroyo  David,1980,Spain,Caja Rural - Seguros,295,109,2016
17020,300,Eiking  Odd Christian,1994,Norway,FDJ,295,17252,2016
17021,304,Juul-Jensen  Christopher,1989,Denmark,Orica - BikeExchange,293,1715,2016
17022,304,Bernal  Egan,1997,Colombia,Androni Giocattoli,293,58275,2016
17025,308,Dillier  Silvan,1990,Switzerland,BMC Racing Team,289,3303,2016
17033,315,Reza  Kevin,1988,France,FDJ,280,2995,2016
17034,317,Pedersen  Mads,1995,Denmark,Stölting Service Group,279,16793,2016
17035,317,Pacher  Quentin,1992,France,Delko Marseille-Provence,279,17203,2016
17041,322,Gaudu  David,1996,France,FDJ,277,37378,2016
17043,325,Declercq  Tim,1989,Belgium,Topsport Vlaanderen,276,1970,2016
17046,329,Montaguti  Matteo,1984,Italy,AG2R La Mondiale,275,2145,2016
17051,334,Zeits  Andrey,1986,Kazakhstan,Astana Pro Team,265,737,2016
17063,343,Ackermann  Pascal,1994,Germany,Rad-Net Rose Team,259,9746,2016
17071,353,Moreno  Javier,1984,Spain,Movistar Team,254,2118,2016
17075,358,Haig  Jack,1993,Australia,Orica - BikeExchange,251,19784,2016
17089,372,Hivert  Jonathan,1985,France,Fortuneo - Vital Concept,243,169,2016
17090,372,Mezgec  Luka,1988,Slovenia,Orica - BikeExchange,243,9234,2016
17092,375,Mori  Manuele,1980,Italy,Lampre-Merida,242,492,2016
17097,378,Tusveld  Martijn,1993,Netherlands,Team Giant - Alpecin,241,7729,2016
17101,384,Cunego  Damiano,1981,Italy,Nippo - Vini Fantini,238,149,2016
17104,387,Schär  Michael,1986,Switzerland,BMC Racing Team,236,327,2016
17109,392,Pellizotti  Franco,1978,Italy,Androni Giocattoli,233,134,2016
17113,396,Brajkovic  Janez,1983,Slovenia,UnitedHealthcare,232,252,2016
17115,398,Zubeldia  Haimar,1977,Spain,Trek-Segafredo,231,87,2016
17116,399,Geschke  Simon,1986,Germany,Team Giant - Alpecin,230,168,2016
17122,404,Barta  Jan,1984,Czech Republic,Bora - Argon 18,227,990,2016
17133,416,Machado  Tiago,1985,Portugal,Team Katusha,222,708,2016
17134,416,Bystrøm  Sven Erik,1992,Norway,Team Katusha,222,4953,2016
17141,424,Mas  Enric,1995,Spain,Klein Constantia,218,1527,2016
17151,433,Kochetkov  Pavel,1986,Russia,Team Katusha,215,2320,2016
17176,459,De Marchi  Alessandro,1986,Italy,BMC Racing Team,197,3103,2016
17179,461,Nordhaug  Lars Petter,1984,Norway,Team Sky,196,408,2016
17180,461,Wyss  Marcel,1986,Switzerland,IAM Cycling,196,894,2016
17181,461,Dowsett  Alex,1988,Great Britain,Movistar Team,196,1009,2016
17198,481,García Cortina  Iván,1995,Spain,Etixx - Quick Step,188,11828,2016
17199,482,Wynants  Maarten,1982,Belgium,Team LottoNL-Jumbo,187,367,2016
17203,485,Teuns  Dylan,1992,Belgium,BMC Racing Team,186,8068,2016
17204,485,Walscheid  Max,1993,Germany,Team Giant - Alpecin,186,9210,2016
17214,497,Wyss  Danilo,1985,Switzerland,BMC Racing Team,182,912,2016
17219,501,Mendes  Jose,1985,Portugal,Bora - Argon 18,180,992,2016
17224,507,Sinkeldam  Ramon,1989,Netherlands,Team Giant - Alpecin,177,4589,2016
17243,526,Brändle  Matthias,1989,Austria,IAM Cycling,169,875,2016
17247,530,Backaert  Frederik,1990,Belgium,Wanty - Groupe Gobert,168,10950,2016
17248,530,Hindley  Jai,1996,Australia,Attaque Team Gusto,168,37446,2016
17249,532,Langeveld  Sebastian,1985,Netherlands,Cannondale - Drapac,167,312,2016
17253,532,Domont  Axel,1990,France,AG2R La Mondiale,167,10946,2016
17260,543,Vachon  Florian,1985,France,Fortuneo - Vital Concept,164,1016,2016
17262,545,El Fares  Julien,1985,France,Delko Marseille-Provence,163,345,2016
17265,548,Laengen  Vegard Stake,1989,Norway,IAM Cycling,162,407,2016
17272,554,Verona  Carlos,1992,Spain,Etixx - Quick Step,160,7781,2016
17275,558,Herrada  Jose,1985,Spain,Movistar Team,159,1323,2016
17282,561,Storer  Michael,1997,Australia,VL Technics - Experza,157,37447,2016
17289,571,Gruzdev  Dmitriy,1986,Kazakhstan,Astana Pro Team,155,5836,2016
17291,571,van der Hoorn  Taco,1993,Netherlands,Cycling Team Join's - De Rijke,155,10802,2016
17298,580,Guerreiro  Ruben,1994,Portugal,Axeon - Hagens Berman,152,16992,2016
17299,580,Soler  Marc,1993,Spain,Movistar Team,152,25726,2016
17301,584,Dempster  Zakkari,1987,Australia,Bora - Argon 18,151,2396,2016
17324,607,Arashiro  Yukiya,1984,Japan,Lampre-Merida,145,163,2016
17327,607,Owsian  Lukasz,1990,Poland,CCC Sprandi Polkowice,145,7771,2016
17339,619,Boivin  Guillaume,1989,Canada,Cycling Academy Team,142,1937,2016
17352,635,Smukulis  Gatis,1987,Latvia,Astana Pro Team,137,849,2016
17358,641,Haga  Chad,1988,USA,Team Giant - Alpecin,136,9322,2016
17372,655,Benedetti  Cesare,1987,Poland,Bora - Argon 18,132,3224,2016
17379,660,Howes  Alex,1988,USA,Cannondale - Drapac,131,7566,2016
17402,683,Bernard  Julien,1992,France,Trek-Segafredo,126,17182,2016
17427,710,Delage  Mickaël,1985,France,FDJ,118,155,2016
17431,710,Roosen  Timo,1993,Netherlands,Team LottoNL-Jumbo,118,22133,2016
17441,724,López  David,1981,Spain,Team Sky,116,336,2016
17486,769,Roy  Jérémy,1983,France,FDJ,106,106,2016
17503,782,Denz  Nico,1994,Germany,AG2R La Mondiale,104,16817,2016
17511,793,Betancur  Carlos,1989,Colombia,Movistar Team,101,1001,2016
17540,822,Bozic  Borut,1980,Slovenia,"Cofidis, Solution Credits",96,387,2016
17545,828,Stetina  Peter,1987,USA,Trek-Segafredo,95,771,2016
17546,828,Tulik  Angelo,1990,France,Direct Energie,95,6515,2016
17554,835,Brown  Nathan,1991,USA,Cannondale - Drapac,93,3354,2016
17569,852,Sabatini  Fabio,1985,Italy,Etixx - Quick Step,90,122,2016
17571,852,Duchesne  Antoine,1991,Canada,Direct Energie,90,6260,2016
17589,872,Leezer  Tom,1985,Netherlands,Team LottoNL-Jumbo,87,368,2016
17596,879,Ciolek  Gerald,1986,Germany,Stölting Service Group,86,20,2016
17610,888,Aranburu  Alex,1995,Spain,Euskadi - Murias,84,27307,2016
17621,902,Périchon  Pierre-Luc,1987,France,Fortuneo - Vital Concept,82,9154,2016
17631,914,Horner  Chris,1971,USA,Lupus Racing Team,80,323,2016
17636,919,van Poppel  Boy,1988,Netherlands,Trek-Segafredo,79,3187,2016
17655,936,Gène  Yohann,1981,France,Direct Energie,77,904,2016
17662,936,Asgreen  Kasper,1995,Denmark,Team Virtu Pro,77,27121,2016
17677,949,De Plus  Laurens,1995,Belgium,Etixx - Quick Step,76,27333,2016
17679,961,Brutt  Pavel,1982,Russia,Tinkoff,75,557,2016
17701,984,Quemeneur  Perrig,1984,France,Direct Energie,72,906,2016
17716,991,Paret-Peintre  Aurélien,1996,France,Chambéry CF,71,27301,2016
17727,1001,Cras  Steff,1996,Belgium,Lotto - Soudal U23,70,27332,2016
17729,1012,Ten Dam  Laurens,1980,Netherlands,Team Giant - Alpecin,69,80,2016
17753,1036,Burghardt  Marcus,1983,Germany,BMC Racing Team,66,92,2016
17754,1036,Di Gregorio  Rémy,1985,France,Delko Marseille-Provence,66,105,2016
17775,1058,Hepburn  Michael,1991,Australia,Orica - BikeExchange,64,2978,2016
17815,1095,van der Poel  Mathieu,1995,Netherlands,Beobank - Corendon,60,16672,2016
17824,1095,van der Poel  Mathieu,1995,Netherlands,Beobank - Corendon,60,16672,2016
17841,1122,De Buyst  Jasper,1993,Belgium,Lotto - Soudal,58,9042,2016
17845,1122,Madouas  Valentin,1996,France,Brest Iroise Cyclisme 2000,58,37379,2016
17847,1130,Lindeman  Bert-Jan,1989,Netherlands,Team LottoNL-Jumbo,57,4001,2016
17870,1141,Rota  Lorenzo,1995,Italy,Bardiani - CSF,56,27275,2016
17886,1156,Tolhoek  Antwan,1994,Netherlands,Roompot - Oranje Peloton,55,22143,2016
17928,1211,Losada  Alberto,1982,Spain,Team Katusha,51,749,2016
17955,1238,Malacarne  Davide,1987,Italy,Astana Pro Team,49,759,2016
17975,1257,Turgot  Sébastien,1984,France,AG2R La Mondiale,48,522,2016
17976,1257,Tjallingii  Maarten,1977,Netherlands,Team LottoNL-Jumbo,48,601,2016
17978,1257,Cattaneo  Mattia,1990,Italy,Lampre-Merida,48,6227,2016
17989,1270,Marczynski  Tomasz,1984,Poland,Lotto - Soudal,47,2281,2016
18021,1298,Grmay  Tsgabu,1991,Ethiopia,Lampre-Merida,45,6255,2016
18056,1339,Fröhlinger  Johannes,1985,Germany,Team Giant - Alpecin,43,32,2016
18060,1339,Haller  Marco,1991,Austria,Team Katusha,43,6246,2016
18069,1339,Ourselin  Paul,1994,France,Direct Energie,43,32592,2016
18072,1339,Nieuwenhuis  Joris,1996,Netherlands,Rabobank DT,43,38146,2016
18087,1356,Thomas  Benjamin,1995,France,Armée de Terre,42,43007,2016
18088,1371,Ruijgh  Rob,1986,Netherlands,Crelan - Vastgoedservice,41,936,2016
18100,1371,Bonnamour  Franck,1995,France,Fortuneo - Vital Concept,41,27297,2016
18183,1440,Abrahamsen  Jonas,1995,Norway,Team Ringeriks - Kraft,36,27229,2016
18187,1440,Guglielmi  Simon,1997,France,CR4C Roanne,36,38923,2016
18213,1496,Koren  Kristjan,1986,Slovenia,Cannondale - Drapac,34,782,2016
18231,1513,Szmyd  Sylwester,1978,Poland,CCC Sprandi Polkowice,33,360,2016
18250,1532,Breen  Vegard,1990,Norway,Fortuneo - Vital Concept,32,774,2016
18390,1655,Geniets  Kevin,1997,Luxembourg,Chambéry CF,27,37325,2016
18431,1703,Brun Jr.  Frederic,1988,France,Fortuneo - Vital Concept,25,20148,2016
18489,1758,De Gendt  Aimé,1994,Belgium,Topsport Vlaanderen,23,16581,2016
18535,1817,Meier  Christian,1985,Canada,Orica - BikeExchange,21,355,2016
18635,1918,Zandio  Xabier,1977,Spain,Team Sky,18,113,2016
18719,1998,Eisel  Bernhard,1981,Austria,Dimension Data,16,93,2016
18720,1998,Tiralongo  Paolo,1977,Italy,Astana Pro Team,16,359,2016
18721,1998,Sutherland  Rory,1982,Australia,Movistar Team,16,1206,2016
18734,1998,Cabot  Jérémy,1991,France,SCO Dijon,16,17183,2016
18874,2155,Serpa  José,1979,Colombia,Team Arroz Sonora-Dimonex,13,463,2016
18918,2155,Serpa  José,1979,Colombia,Team Arroz Sonora-Dimonex,13,463,2016
19106,2351,Beullens  Cédric,1997,Belgium,EFC - Etixx,10,37466,2016
19241,2523,Goss  Matthew,1986,Australia,ONE Pro Cycling,8,512,2016
19410,2616,Russo  Clément,1995,France,Team Probikeshop Saint-Etienne Loir,7,46959,2016
19638,2870,Eg  Niklas,1995,Denmark,Team Virtu Pro,5,16795,2016
19734,3013,Pate  Danny,1979,USA,Rally Cycling,4,50,2016
19827,3013,Pate  Danny,1979,USA,Rally Cycling,4,50,2016
20135,3408,Velits  Martin,1985,Slovakia,Etixx - Quick Step,2,703,2016
20810,7,Sagan  Peter,1990,Slovakia,Bora-Hansgrohe,2217,784,2017
20815,12,Zakarin  Ilnur,1989,Russia,Katusha-Alpecin,1890,9128,2017
20819,16,Kwiatkowski  Michal,1990,Poland,Sky,1747,2961,2017
20822,18,Bardet  Romain,1990,France,AG2R La Mondiale,1686,2275,2017
20824,21,Démare  Arnaud,1991,France,FDJ,1605,2337,2017
20829,25,Groenewegen  Dylan,1993,Netherlands,Lotto NL-Jumbo,1540,7720,2017
20835,32,Colbrelli  Sonny,1990,Italy,Bahrain-Merida,1405,2338,2017
20840,37,Costa  Rui,1986,Portugal,UAE Team Emirates,1327,114,2017
20841,38,Majka  Rafal,1989,Poland,Bora-Hansgrohe,1321,3991,2017
20846,43,Degenkolb  John,1989,Germany,Trek-Segafredo,1246,1013,2017
20848,45,Stuyven  Jasper,1992,Belgium,Trek-Segafredo,1220,5059,2017
20849,46,Alaphilippe  Julian,1992,France,Quick-Step Floors,1199,12474,2017
20852,49,Jungels  Bob,1992,Luxembourg,Quick-Step Floors,1088,6413,2017
20853,50,Poels  Wout,1987,Netherlands,Sky,1070,929,2017
20855,52,Teuns  Dylan,1992,Belgium,BMC Racing,1061,8068,2017
20858,55,Kruijswijk  Steven,1987,Netherlands,Lotto NL-Jumbo,1034,730,2017
20863,60,Visconti  Giovanni,1983,Italy,Bahrain-Merida,958,486,2017
20864,61,Bernal  Egan,1997,Colombia,Androni-Sidermec-Bottecchia,950,58275,2017
20866,63,Fuglsang  Jakob,1985,Denmark,Astana,946,264,2017
20868,64,Vuillermoz  Alexis,1988,France,AG2R La Mondiale,939,14716,2017
20871,68,De Buyst  Jasper,1993,Belgium,Lotto-Soudal,908,9042,2017
20873,70,Caruso  Damiano,1987,Italy,BMC Racing,893,1006,2017
20874,71,Theuns  Edward,1991,Belgium,Trek-Segafredo,883,10382,2017
20876,73,Castroviejo  Jonathan,1987,Spain,Movistar,851,871,2017
20877,73,Cattaneo  Mattia,1990,Italy,Androni-Sidermec-Bottecchia,851,6227,2017
20882,79,Simon  Julien,1985,France,Cofidis,811,964,2017
20887,84,Gavazzi  Francesco,1984,Italy,Androni-Sidermec-Bottecchia,759,580,2017
