index,Pos,Rider,Born,Nation,Team,Points,rider_id,Year
14942,18,Kashechkin  Andrey,1980,Kazakhstan,Astana - Würth Team,1459,250,2006
14944,20,Hincapie  George,1973,USA,Discovery Channel,1423,10,2006
14946,22,Cancellara  Fabian,1981,Switzerland,Team CSC,1301,12,2006
14948,24,Gusev  Vladimir,1982,Russia,Discovery Channel,1248,482,2006
14949,25,Eisel  Bernhard,1981,Austria,Française des Jeux,1219,93,2006
14951,27,Cooke  Baden,1978,Australia,Unibet.com,1212,388,2006
14961,37,Hondo  Danilo,1974,Germany,Team Lamonta,1126,282,2006
14975,51,Kroon  Karsten,1976,Netherlands,Team CSC,934,248,2006
14994,70,Steegmans  Gert,1980,Belgium,Davitamon - Lotto,787,175,2006
15001,77,Zabriskie  David,1979,USA,Team CSC,749,48,2006
15002,78,Pellizotti  Franco,1978,Italy,Liquigas,748,134,2006
15004,80,Mori  Manuele,1980,Italy,Saunier Duval - Prodir,743,492,2006
15006,82,Chavanel  Sylvain,1979,France,Cofidis,721,167,2006
15009,85,Brajkovic  Janez,1983,Slovenia,Discovery Channel,716,252,2006
15017,93,Vandborg  Brian,1981,Denmark,Team CSC,678,135,2006
15019,95,Horner  Chris,1971,USA,Davitamon - Lotto,674,323,2006
15022,98,Ciolek  Gerald,1986,Germany,Team Wiesenhof Akud,644,20,2006
15027,103,Tjallingii  Maarten,1977,Netherlands,Skil - Shimano,620,601,2006
15031,107,Martinez  Egoi,1978,Spain,Discovery Channel,608,57,2006
15036,112,Zubeldia  Haimar,1977,Spain,Euskaltel-Euskadi,594,87,2006
15037,113,Szmyd  Sylwester,1978,Poland,Lampre-Fondital,593,360,2006
15051,127,Gesink  Robert,1986,Netherlands,Rabobank CT,565,41,2006
15062,138,Grivko  Andriy,1983,Ukraine,Team Milram,535,494,2006
15067,143,Arroyo  David,1980,Spain,Caisse d'Epargne - Illes Balears,530,109,2006
15069,145,Rodríguez  Joaquim,1979,Spain,Caisse d'Epargne - Illes Balears,517,246,2006
15075,151,Moreno  Daniel,1981,Spain,Relax - GAM,511,335,2006
15078,154,Popovych  Yaroslav,1980,Ukraine,Discovery Channel,506,5,2006
15085,161,Willems  Frederik,1979,Belgium,Chocolade Jacques - Topsport Vlaand,483,137,2006
15088,163,Visconti  Giovanni,1983,Italy,Team Milram,477,486,2006
15093,169,Haussler  Heinrich,1984,Australia,Gerolsteiner,473,120,2006
15097,173,Pineau  Jérôme,1980,France,Bouygues Telecom,454,182,2006
15100,176,Renshaw  Mark,1982,Australia,Crédit Agricole,451,97,2006
15119,195,Posthuma  Joost,1981,Netherlands,Rabobank,425,79,2006
15134,210,Richeze  Maximiliano,1983,Argentina,Ceramica Panaria - Navigare,400,624,2006
15138,214,Ten Dam  Laurens,1980,Netherlands,Unibet.com,394,80,2006
15152,228,Gerrans  Simon,1980,Australia,AG2R Prévoyance,377,339,2006
15163,238,Brutt  Pavel,1982,Russia,Tinkoff Restaurants,367,557,2006
15176,250,Van Emden  Jos,1985,Netherlands,Rabobank CT,355,729,2006
15180,256,Gavazzi  Francesco,1984,Italy,Unidelta GLS Garda,350,580,2006
15203,279,Dupont  Hubert,1980,France,AG2R Prévoyance,331,186,2006
15219,295,Muravyev  Dmitriy,1979,Kazakhstan,Jartazi - 7Mobile,314,90,2006
