YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2017,08.03-14.03,2.UWT,Tirreno-Adriatico,N. Quintana,https://firstcycling.com/race.php?r=3&y=2017
2017,18.03,1.UWT,Milano-Sanremo,M. Kwiatkowski,https://firstcycling.com/race.php?r=4&y=2017
2017,20.03-26.03,2.UWT,Volta Catalunya,A. Valverde,https://firstcycling.com/race.php?r=14&y=2017
2017,22.03,1.UWT,Dwars door Vlaanderen,Y. Lampaert,https://firstcycling.com/race.php?r=75&y=2017
2017,24.03,1.UWT,E3 Saxo Classic,G. Van Avermaet,https://firstcycling.com/race.php?r=47&y=2017
2017,26.03,1.UWT,Gent - Wevelgem,G. Van Avermaet,https://firstcycling.com/race.php?r=7&y=2017
2017,02.04,1.UWT,Ronde van Vlaanderen,P. Gilbert,https://firstcycling.com/race.php?r=5&y=2017
2017,03.04-08.04,2.UWT,Itzulia Basque Country,A. Valverde,https://firstcycling.com/race.php?r=6&y=2017
2017,09.04,1.UWT,Paris-Roubaix,G. Van Avermaet,https://firstcycling.com/race.php?r=8&y=2017
2017,16.04,1.UWT,Amstel Gold Race,P. Gilbert,https://firstcycling.com/race.php?r=9&y=2017
2017,19.04,1.UWT,La Flèche Wallonne,A. Valverde,https://firstcycling.com/race.php?r=10&y=2017
2017,23.04,1.UWT,Liège-Bastogne-Liège,A. Valverde,https://firstcycling.com/race.php?r=11&y=2017
2017,25.04-30.04,2.UWT,Tour de Romandie,R. Porte,https://firstcycling.com/race.php?r=12&y=2017
2017,01.05,1.UWT,Eschborn-Frankfurt,A. Kristoff,https://firstcycling.com/race.php?r=35&y=2017
2017,05.05-28.05,2.UWT,Giro d'Italia,T. Dumoulin,https://firstcycling.com/race.php?r=13&y=2017
2017,14.05-20.05,2.UWT,Tour of California,G. Bennett,https://firstcycling.com/race.php?r=30&y=2017
2017,04.06-11.06,2.UWT,Critérium du Dauphiné,J. Fuglsang,https://firstcycling.com/race.php?r=15&y=2017
2017,10.06-18.06,2.UWT,Tour de Suisse,S. Spilak,https://firstcycling.com/race.php?r=16&y=2017
2017,01.07-23.07,2.UWT,Tour de France,C. Froome,https://firstcycling.com/race.php?r=17&y=2017
2017,29.07,1.UWT,San Sebastian Klasikoa,M. Kwiatkowski,https://firstcycling.com/race.php?r=18&y=2017
2017,29.07-04.08,2.UWT,Tour de Pologne,D. Teuns,https://firstcycling.com/race.php?r=19&y=2017
2017,30.07,1.UWT,Ride London Classic,A. Kristoff,https://firstcycling.com/race.php?r=261&y=2017
2017,07.08-13.08,2.UWT,Renewi Tour,T. Dumoulin,https://firstcycling.com/race.php?r=21&y=2017
2017,19.08-10.09,2.UWT,Vuelta a España,C. Froome,https://firstcycling.com/race.php?r=23&y=2017
2017,20.08,1.UWT,BEMER Cyclassics,E. Viviani,https://firstcycling.com/race.php?r=20&y=2017
2017,27.08,1.UWT,Bretagne Classic,E. Viviani,https://firstcycling.com/race.php?r=22&y=2017
2017,08.09,1.UWT,GP Québec,P. Sagan,https://firstcycling.com/race.php?r=59&y=2017
2017,10.09,1.UWT,GP Montreal,D. Ulissi,https://firstcycling.com/race.php?r=58&y=2017
2017,07.10,1.UWT,Il Lombardia,V. Nibali,https://firstcycling.com/race.php?r=24&y=2017
2017,10.10-15.10,2.UWT,Tour of Türkiye,D. Ulissi,https://firstcycling.com/race.php?r=152&y=2017
2017,19.10-24.10,2.UWT,Gree - Tour of Guangxi,T. Wellens,https://firstcycling.com/race.php?r=7591&y=2017
2018,16.01-21.01,2.UWT,Tour Down Under,D. Impey,https://firstcycling.com/race.php?r=1&y=2018
2018,28.01,1.UWT,Cadel Evans Road Race,J. McCarthy,https://firstcycling.com/race.php?r=1172&y=2018
2018,21.02-25.02,2.UWT,Abu Dhabi Tour,A. Valverde,https://firstcycling.com/race.php?r=3827&y=2018
2018,24.02,1.UWT,Omloop Het Nieuwsblad,M. Valgren,https://firstcycling.com/race.php?r=53&y=2018
2018,03.03,1.UWT,Strade Bianche,T. Benoot,https://firstcycling.com/race.php?r=54&y=2018
2018,04.03-11.03,2.UWT,Paris-Nice,M. Soler,https://firstcycling.com/race.php?r=2&y=2018
2018,07.03-13.03,2.UWT,Tirreno-Adriatico,M. Kwiatkowski,https://firstcycling.com/race.php?r=3&y=2018
2018,17.03,1.UWT,Milano-Sanremo,V. Nibali,https://firstcycling.com/race.php?r=4&y=2018
2018,19.03-25.03,2.UWT,Volta Catalunya,A. Valverde,https://firstcycling.com/race.php?r=14&y=2018
2018,23.03,1.UWT,E3 Saxo Classic,N. Terpstra,https://firstcycling.com/race.php?r=47&y=2018
2018,25.03,1.UWT,Gent - Wevelgem,P. Sagan,https://firstcycling.com/race.php?r=7&y=2018
2018,28.03,1.UWT,Dwars door Vlaanderen,Y. Lampaert,https://firstcycling.com/race.php?r=75&y=2018
2018,01.04,1.UWT,Ronde van Vlaanderen,N. Terpstra,https://firstcycling.com/race.php?r=5&y=2018
2018,02.04-07.04,2.UWT,Itzulia Basque Country,P. Roglic,https://firstcycling.com/race.php?r=6&y=2018
2018,08.04,1.UWT,Paris-Roubaix,P. Sagan,https://firstcycling.com/race.php?r=8&y=2018
2018,15.04,1.UWT,Amstel Gold Race,M. Valgren,https://firstcycling.com/race.php?r=9&y=2018
2018,18.04,1.UWT,La Flèche Wallonne,J. Alaphilippe,https://firstcycling.com/race.php?r=10&y=2018
2018,22.04,1.UWT,Liège-Bastogne-Liège,B. Jungels,https://firstcycling.com/race.php?r=11&y=2018
2018,24.04-29.04,2.UWT,Tour de Romandie,P. Roglic,https://firstcycling.com/race.php?r=12&y=2018
2018,01.05,1.UWT,Eschborn-Frankfurt,A. Kristoff,https://firstcycling.com/race.php?r=35&y=2018
2018,04.05-27.05,2.UWT,Giro d'Italia,C. Froome,https://firstcycling.com/race.php?r=13&y=2018
2018,13.05-19.05,2.UWT,Tour of California,E. Bernal,https://firstcycling.com/race.php?r=30&y=2018
2018,03.06-10.06,2.UWT,Critérium du Dauphiné,G. Thomas,https://firstcycling.com/race.php?r=15&y=2018
2018,09.06-17.06,2.UWT,Tour de Suisse,R. Porte,https://firstcycling.com/race.php?r=16&y=2018
2018,07.07-29.07,2.UWT,Tour de France,G. Thomas,https://firstcycling.com/race.php?r=17&y=2018
2018,29.07,1.UWT,Ride London Classic,P. Ackermann,https://firstcycling.com/race.php?r=261&y=2018
2018,04.08,1.UWT,San Sebastian Klasikoa,J. Alaphilippe,https://firstcycling.com/race.php?r=18&y=2018
2018,04.08-10.08,2.UWT,Tour de Pologne,M. Kwiatkowski,https://firstcycling.com/race.php?r=19&y=2018
2018,13.08-19.08,2.UWT,Renewi Tour,M. Mohoric,https://firstcycling.com/race.php?r=21&y=2018
2018,19.08,1.UWT,BEMER Cyclassics,E. Viviani,https://firstcycling.com/race.php?r=20&y=2018
2018,25.08-16.09,2.UWT,Vuelta a España,S. Yates,https://firstcycling.com/race.php?r=23&y=2018
2018,26.08,1.UWT,Bretagne Classic,O. Naesen,https://firstcycling.com/race.php?r=22&y=2018
2018,07.09,1.UWT,GP Québec,M. Matthews,https://firstcycling.com/race.php?r=59&y=2018
2018,09.09,1.UWT,GP Montreal,M. Matthews,https://firstcycling.com/race.php?r=58&y=2018
2018,09.10-14.10,2.UWT,Tour of Türkiye,E. Prades,https://firstcycling.com/race.php?r=152&y=2018
2018,13.10,1.UWT,Il Lombardia,T. Pinot,https://firstcycling.com/race.php?r=24&y=2018
2018,16.10-21.10,2.UWT,Gree - Tour of Guangxi,G. Moscon,https://firstcycling.com/race.php?r=7591&y=2018
2019,15.01-20.01,2.UWT,Tour Down Under,D. Impey,https://firstcycling.com/race.php?r=1&y=2019
2019,27.01,1.UWT,Cadel Evans Road Race,E. Viviani,https://firstcycling.com/race.php?r=1172&y=2019
2019,24.02-02.03,2.UWT,UAE Tour,P. Roglic,https://firstcycling.com/race.php?r=9800&y=2019
2019,02.03,1.UWT,Omloop Het Nieuwsblad,Z. Stybar,https://firstcycling.com/race.php?r=53&y=2019
2019,09.03,1.UWT,Strade Bianche,J. Alaphilippe,https://firstcycling.com/race.php?r=54&y=2019
2019,10.03-17.03,2.UWT,Paris-Nice,E. Bernal,https://firstcycling.com/race.php?r=2&y=2019
2019,13.03-19.03,2.UWT,Tirreno-Adriatico,P. Roglic,https://firstcycling.com/race.php?r=3&y=2019
2019,23.03,1.UWT,Milano-Sanremo,J. Alaphilippe,https://firstcycling.com/race.php?r=4&y=2019
2019,25.03-31.03,2.UWT,Volta Catalunya,M. López,https://firstcycling.com/race.php?r=14&y=2019
2019,27.03,1.UWT,Classic Brugge-De Panne,D. Groenewegen,https://firstcycling.com/race.php?r=40&y=2019
2019,29.03,1.UWT,E3 Saxo Classic,Z. Stybar,https://firstcycling.com/race.php?r=47&y=2019
2019,31.03,1.UWT,Gent - Wevelgem,A. Kristoff,https://firstcycling.com/race.php?r=7&y=2019
2019,03.04,1.UWT,Dwars door Vlaanderen,M. van der Poel,https://firstcycling.com/race.php?r=75&y=2019
2019,07.04,1.UWT,Ronde van Vlaanderen,A. Bettiol,https://firstcycling.com/race.php?r=5&y=2019
2019,08.04-13.04,2.UWT,Itzulia Basque Country,I. Izagirre,https://firstcycling.com/race.php?r=6&y=2019
2019,14.04,1.UWT,Paris-Roubaix,P. Gilbert,https://firstcycling.com/race.php?r=8&y=2019
2019,16.04-21.04,2.UWT,Tour of Türkiye,F. Großschartner,https://firstcycling.com/race.php?r=152&y=2019
2019,21.04,1.UWT,Amstel Gold Race,M. van der Poel,https://firstcycling.com/race.php?r=9&y=2019
2019,24.04,1.UWT,La Flèche Wallonne,J. Alaphilippe,https://firstcycling.com/race.php?r=10&y=2019
2019,28.04,1.UWT,Liège-Bastogne-Liège,J. Fuglsang,https://firstcycling.com/race.php?r=11&y=2019
2019,30.04-05.05,2.UWT,Tour de Romandie,P. Roglic,https://firstcycling.com/race.php?r=12&y=2019
2019,01.05,1.UWT,Eschborn-Frankfurt,P. Ackermann,https://firstcycling.com/race.php?r=35&y=2019
